requestId,tag.requestType,tag.yourCustomId,linkedId,visitorId,visitorFound,timestamp,time,incognito,url,clientReferrer,ip,ipLocation.accuracyRadius,ipLocation.city.name,ipLocation.continent.code,ipLocation.continent.name,ipLocation.country.code,ipLocation.country.name,ipLocation.latitude,ipLocation.longitude,ipLocation.postalCode,ipLocation.subdivisions.0.isoCode,ipLocation.subdivisions.0.name,ipLocation.timezone,browserDetails.browserName,browserDetails.browserFullVersion,browserDetails.browserMajorVersion,browserDetails.os,browserDetails.osVersion,browserDetails.device,browserDetails.userAgent,confidence.score,firstSeenAt.global,firstSeenAt.subscription,lastSeenAt.global,lastSeenAt.subscription,userAgent,ipInfo.v4.address,ipInfo.v4.geolocation.accuracyRadius,ipInfo.v4.geolocation.latitude,ipInfo.v4.geolocation.longitude,ipInfo.v4.geolocation.postalCode,ipInfo.v4.geolocation.timezone,ipInfo.v4.geolocation.city.name,ipInfo.v4.geolocation.country.code,ipInfo.v4.geolocation.country.name,ipInfo.v4.geolocation.continent.code,ipInfo.v4.geolocation.continent.name,ipInfo.v4.geolocation.subdivisions.0.isoCode,ipInfo.v4.geolocation.subdivisions.0.name,ipInfo.asn.asn,ipInfo.asn.name,ipInfo.asn.network,ipInfo.dataCenter.result,ipInfo.dataCenter.name,bot.result,vpn.result,vpn.methods.timezoneMismatch,vpn.methods.publicVPN,vpn.methods.auxiliaryMobile,vpn.methods.osMismatch,vpn.methods.relay,tampering.result,tampering.anomalyScore,clonedApp.result,factoryReset.time,factoryReset.timestamp,jailbroken.result,frida.result,rootApps.result,privacySettings.result,virtualMachine.result,suspectScore.result,mitmAttack.result,emulator.result
1755172214954.q3jXbd,,,,Q24hUl1lUjc0FEL5M2Uq,true,1755172214983,2025-08-14T11:50:14.983Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T11:46:32.086Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755172214954.EPeCx5,,,accountNum12345,Q24hUl1lUjc0FEL5M2Uq,true,1755172214982,2025-08-14T11:50:14.982Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T11:46:32.086Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755171992053.yEzw1L,,,accountNum12345,Q24hUl1lUjc0FEL5M2Uq,true,1755171992087,2025-08-14T11:46:32.087Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T11:12:28.875Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755171992054.6nwHZu,,,,Q24hUl1lUjc0FEL5M2Uq,true,1755171992086,2025-08-14T11:46:32.086Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T11:12:28.875Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755169944739.yx1uWi,,,accountNum12345,Q24hUl1lUjc0FEL5M2Uq,true,1755169948875,2025-08-14T11:12:28.875Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T11:12:28.276Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755169944134.EUeWL7,,,,Q24hUl1lUjc0FEL5M2Uq,true,1755169948276,2025-08-14T11:12:28.276Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T10:15:02.561Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755166498265.fGxgba,,,,Q24hUl1lUjc0FEL5M2Uq,true,1755166502561,2025-08-14T10:15:02.561Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T10:15:02.438Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755166498265.pG7QYa,,,accountNum12345,Q24hUl1lUjc0FEL5M2Uq,true,1755166502438,2025-08-14T10:15:02.438Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T10:00:29.236Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755165625995.mZsBrR,,,,Q24hUl1lUjc0FEL5M2Uq,true,1755165629236,2025-08-14T10:00:29.236Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T10:00:29.170Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755165625996.NOzXL5,,,accountNum12345,Q24hUl1lUjc0FEL5M2Uq,true,1755165629170,2025-08-14T10:00:29.170Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T09:44:43.484Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755164682856.1LGnaQ,,,accountNum12345,Q24hUl1lUjc0FEL5M2Uq,true,1755164683484,2025-08-14T09:44:43.484Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T09:44:43.435Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755164682856.o22Hzm,,,,Q24hUl1lUjc0FEL5M2Uq,true,1755164683435,2025-08-14T09:44:43.435Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T09:37:22.206Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755164242043.Hv5Noa,,,,Q24hUl1lUjc0FEL5M2Uq,true,1755164242206,2025-08-14T09:37:22.206Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T09:37:22.076Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755164242044.fx8XDc,,,accountNum12345,Q24hUl1lUjc0FEL5M2Uq,true,1755164242076,2025-08-14T09:37:22.076Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T09:27:22.104Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755163642064.e4iLCq,,,,Q24hUl1lUjc0FEL5M2Uq,true,1755163642151,2025-08-14T09:27:22.151Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T09:09:30.969Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755163642064.k9XZsQ,,,accountNum12345,Q24hUl1lUjc0FEL5M2Uq,true,1755163642104,2025-08-14T09:27:22.104Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T09:09:30.969Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755162570933.mhpQYO,,,,Q24hUl1lUjc0FEL5M2Uq,true,1755162570969,2025-08-14T09:09:30.969Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T08:47:47.212Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755162570932.MwN2rh,,,accountNum12345,Q24hUl1lUjc0FEL5M2Uq,true,1755162570962,2025-08-14T09:09:30.962Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T08:47:47.212Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755161267176.PvHV9e,,,accountNum12345,Q24hUl1lUjc0FEL5M2Uq,true,1755161267212,2025-08-14T08:47:47.212Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T08:34:20.830Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
1755161267176.hdf3Gh,,,,Q24hUl1lUjc0FEL5M2Uq,true,1755161267203,2025-08-14T08:47:47.203Z,,http://localhost:5173/,http://localhost:5173/,95.70.145.178,10,Istanbul,AS,Asia,TR,Türkiye,41.0329,28.9529,34080,34,Istanbul,Europe/Istanbul,Chrome,138.0.0,138,Mac OS X,10.15.7,Other,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",1,2025-05-08T10:33:01.864Z,,2025-08-14T08:34:20.830Z,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",,,,,,,,,,,,,,,,,,,notDetected,false,false,,false,false,,-1,,false,,,false,false,false,false,false,0,false,false
